Name,Ingredients,Fats,Protien,Carbohydrates,Calories
Dal Makhani,"Red Kidney Beans, Red Chilli Powder, Butter, Large Onion, Tomato, Fresh Cream, Ginger Paste, Salt, Oil, Green Chilli, Garam Masala Powder, Urad Dal, Garlic Paste, Water",24g,16g,39g,427
Chicken Biryani,"Basmati Rice, Mint Leaves, Salt, Oil, Cardamom, Clove, Oniion, Turmeric, Garllic Paste, Hung Curd, Coriander Leaves, Water, Ghee, Chicken, Garam Masala Powder, Saffron, Bay Leaf, Cardamom, Cumin Seeds, Chillies, Ginger Paste, Red Chilli Powder, Ginger, Kewra, Rose Water",9.4g,20g,31g,292
Poori,"Wheat Flour, Atta Flour, Salt, Oil, Water",58.8g,13.3g,72g,846
Vada,"Urad Dal, Green Chilli, Oil, Rice, Coriander Leaves, Salt, Kala Chana",25.2g,13.2g,33g,405
Kaju Katli,"Cashew, Sugar, Ghee, Water, Silver Vark, Green Cardamom",58.5g,19.5g,156g,1196
Aloo Jeera,"Potato, Turmeric, Ginger, Cumin Seeds, Green Chilli, Oil, Curry Leaves, Salt",11.2g,7g,56g,344
Mattar Paneer,"Paneer, Pea, Onion, Oil, Coriander Leaves, Curry Leaves, Red Chilli Powder, Green Chilli, Garam Masala, Salt, Water",23g,11.5g,12.5g,299.5
Chicken Lollipop,"Chicken Leg, Garam Masala, Onion, Coriander Leaves, Salt, Coriander Powder, Oil, Corn Flour, Red Chilli Powder",58.5g,40.5g,23.4g,792
Palak Paneer,"Paneer, Spinach, Cumin Seeds, Red Chilli, Onion, Ginger, Garlic, Green Chilli, Salt, Ghee, Cumin Powder, Kasoori Methi Powder, Butter, Fresh Cream, Red Chilli Powder",36g,18g,12g,439.2
Beetroot Halwa,"Beetroot, Cream Milk, Ghee, Khoya, Sugar, Green Cardamom, Dry Fruits",15.6g,6.7g,42g,330
Parotta,"Maida, Wheat Flour, Oil, Baking Soda, Sugar, Salt, Water",30g,15g,108g,774
Egg Burji,"Egg, Onion, Tomato, Chilli, Capsicum, Ginger, Coriander Leaves, Curry Leaves, Ghee, Jeera, Red Chilli Powder, Turmeric Powder, Salt, Butter",24g,31.5g,1.8g,360
Bhindi Fry,"Ladys Finger, Onion, Tomato, Curry Leaves, Red Chilli Powder, Turmeric Powder, Coriander Powder, Salt, Coriander Leaves",22.1g,3.8g,15.6g,254.8
Rasgulla,"Milk, Sugar, All Purpose Flour (Maida), Rose Water, Lime Juice, Green Cardamom, Water",3.6g,3.4g,50g,240
Jalebi,"purpose flour, hung curd, ghee, sugar, saffron, powdered green cardamom, corn flour, baking soda, sunflower oil, water, rose essence, edible food color",15.8g,5.9g,130.5g,675
